Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01000301,Multi-person household,13
E01000302,Does not apply,0
E01000302,One-person household,356
E01000302,Married or civil partnership couple household,268
E01000302,Cohabiting couple household,84
E01000302,Lone parent household,84
E01000302,Multi-person household,46
E01000303,Does not apply,0
E01000303,One-person household,115
E01000303,Married or civil partnership couple household,305
E01000303,Cohabiting couple household,37
E01000303,Lone parent household,61
E01000303,Multi-person household,16
E01000304,Does not apply,0
E01000304,One-person household,146
E01000304,Married or civil partnership couple household,240
E01000304,Cohabiting couple household,91
E01000304,Lone parent household,77
E01000304,Multi-person household,47
E01000305,Does not apply,0
E01000305,One-person household,222
E01000305,Married or civil partnership couple household,241
E01000305,Cohabiting couple household,83
E01000305,Lone parent household,75
E01000305,Multi-person household,32
E01000306,Does not apply,0
E01000306,One-person household,134
E01000306,Married or civil partnership couple household,291
E01000306,Cohabiting couple household,58
E01000306,Lone parent household,77
E01000306,Multi-person household,59
E01000307,Does not apply,0
E01000307,One-person household,126
E01000307,Married or civil partnership couple household,247
E01000307,Cohabiting couple household,55
E01000307,Lone parent household,89
E01000307,Multi-person household,36
E01000308,Does not apply,0
E01000308,One-person household,353
E01000308,Married or civil partnership couple household,324
E01000308,Cohabiting couple household,107
E01000308,Lone parent household,128
E01000308,Multi-person household,47
E01000309,Does not apply,0
E01000309,One-person household,193
E01000309,Married or civil partnership couple household,322
E01000309,Cohabiting couple household,69
E01000309,Lone parent household,72
E01000309,Multi-person household,53
E01000310,Does not apply,0
E01000310,One-person household,254
E01000310,Married or civil partnership couple household,298
E01000310,Cohabiting couple household,77
E01000310,Lone parent household,146
E01000310,Multi-person household,70
E01000311,Does not apply,0
E01000311,One-person household,114
E01000311,Married or civil partnership couple household,327
E01000311,Cohabiting couple household,23
E01000311,Lone parent household,40
E01000311,Multi-person household,16
E01000312,Does not apply,0
E01000312,One-person household,226
E01000312,Married or civil partnership couple household,307
E01000312,Cohabiting couple household,78
E01000312,Lone parent household,88
E01000312,Multi-person household,22
E01000313,Does not apply,0
E01000313,One-person household,215
E01000313,Married or civil partnership couple household,293
E01000313,Cohabiting couple household,70
E01000313,Lone parent household,76
E01000313,Multi-person household,59
E01000314,Does not apply,0
E01000314,One-person household,190
E01000314,Married or civil partnership couple household,361
E01000314,Cohabiting couple household,64
E01000314,Lone parent household,77
E01000314,Multi-person household,89
E01000315,Does not apply,0
E01000315,One-person household,174
E01000315,Married or civil partnership couple household,236
E01000315,Cohabiting couple household,42
E01000315,Lone parent household,161
E01000315,Multi-person household,21
E01000316,Does not apply,0
E01000316,One-person household,236
E01000316,Married or civil partnership couple household,364
E01000316,Cohabiting couple household,89
E01000316,Lone parent household,160
E01000316,Multi-person household,41
E01000317,Does not apply,0
E01000317,One-person household,190
E01000317,Married or civil partnership couple household,274
E01000317,Cohabiting couple household,50
E01000317,Lone parent household,86
E01000317,Multi-person household,38
E01000318,Does not apply,0
E01000318,One-person household,115
E01000318,Married or civil partnership couple household,364
E01000318,Cohabiting couple household,42
E01000318,Lone parent household,81
E01000318,Multi-person household,34
E01000319,Does not apply,0
E01000319,One-person household,90
E01000319,Married or civil partnership couple household,293
E01000319,Cohabiting couple household,34
E01000319,Lone parent household,57
E01000319,Multi-person household,24
E01000320,Does not apply,0
E01000320,One-person household,244
E01000320,Married or civil partnership couple household,356
E01000320,Cohabiting couple household,92
E01000320,Lone parent household,87
E01000320,Multi-person household,30
E01000321,Does not apply,0
E01000321,One-person household,279
E01000321,Married or civil partnership couple household,308
E01000321,Cohabiting couple household,107
E01000321,Lone parent household,82
E01000321,Multi-person household,53
E01000322,Does not apply,0
E01000322,One-person household,261
E01000322,Married or civil partnership couple household,295
E01000322,Cohabiting couple household,81
E01000322,Lone parent household,126
E01000322,Multi-person household,40
E01000323,Does not apply,0
E01000323,One-person household,384
E01000323,Married or civil partnership couple household,340
E01000323,Cohabiting couple household,105
E01000323,Lone parent household,125
E01000323,Multi-person household,68
E01000324,Does not apply,0
E01000324,One-person household,148
E01000324,Married or civil partnership couple household,330
E01000324,Cohabiting couple household,50
E01000324,Lone parent household,95
E01000324,Multi-person household,26
E01000325,Does not apply,0
E01000325,One-person household,92
E01000325,Married or civil partnership couple household,363
E01000325,Cohabiting couple household,62
E01000325,Lone parent household,56
E01000325,Multi-person household,10
E01000326,Does not apply,0
E01000326,One-person household,118
E01000326,Married or civil partnership couple household,233
E01000326,Cohabiting couple household,109
E01000326,Lone parent household,75
E01000326,Multi-person household,7
E01000327,Does not apply,0
E01000327,One-person household,146
E01000327,Married or civil partnership couple household,365
E01000327,Cohabiting couple household,48
E01000327,Lone parent household,54
E01000327,Multi-person household,9
E01000328,Does not apply,0
E01000328,One-person household,132
E01000328,Married or civil partnership couple household,339
E01000328,Cohabiting couple household,66
E01000328,Lone parent household,69
E01000328,Multi-person household,6
E01000329,Does not apply,0
E01000329,One-person household,170
E01000329,Married or civil partnership couple household,298
E01000329,Cohabiting couple household,75
E01000329,Lone parent household,105
E01000329,Multi-person household,10
E01000330,Does not apply,0
E01000330,One-person household,308
E01000330,Married or civil partnership couple household,263
E01000330,Cohabiting couple household,92
E01000330,Lone parent household,93
E01000330,Multi-person household,13
E01000331,Does not apply,0
E01000331,One-person household,145
E01000331,Married or civil partnership couple household,264
E01000331,Cohabiting couple household,81
E01000331,Lone parent household,118
E01000331,Multi-person household,9
E01000332,Does not apply,0
E01000332,One-person household,158
E01000332,Married or civil partnership couple household,280
E01000332,Cohabiting couple household,69
E01000332,Lone parent household,91
E01000332,Multi-person household,16
E01000333,Does not apply,0
E01000333,One-person household,272
E01000333,Married or civil partnership couple household,257
E01000333,Cohabiting couple household,117
E01000333,Lone parent household,146
E01000333,Multi-person household,19
E01000334,Does not apply,0
E01000334,One-person household,166
E01000334,Married or civil partnership couple household,302
E01000334,Cohabiting couple household,74
E01000334,Lone parent household,87
E01000334,Multi-person household,8
E01000335,Does not apply,0
E01000335,One-person household,288
E01000335,Married or civil partnership couple household,349
E01000335,Cohabiting couple household,162
E01000335,Lone parent household,192
E01000335,Multi-person household,57
E01000336,Does not apply,0
E01000336,One-person household,276
E01000336,Married or civil partnership couple household,199
E01000336,Cohabiting couple household,96
E01000336,Lone parent household,192
E01000336,Multi-person household,29
E01000337,Does not apply,0
E01000337,One-person household,137
E01000337,Married or civil partnership couple household,245
E01000337,Cohabiting couple household,87
E01000337,Lone parent household,153
E01000337,Multi-person household,24
E01000338,Does not apply,0
E01000338,One-person household,159
E01000338,Married or civil partnership couple household,303
E01000338,Cohabiting couple household,87
E01000338,Lone parent household,120
E01000338,Multi-person household,24
E01000339,Does not apply,0
E01000339,One-person household,123
E01000339,Married or civil partnership couple household,306
E01000339,Cohabiting couple household,81
E01000339,Lone parent household,86
E01000339,Multi-person household,8
E01000340,Does not apply,0
E01000340,One-person household,155
E01000340,Married or civil partnership couple household,305
E01000340,Cohabiting couple household,73
E01000340,Lone parent household,86
E01000340,Multi-person household,9
E01000341,Does not apply,0
E01000341,One-person household,148
E01000341,Married or civil partnership couple household,313
E01000341,Cohabiting couple household,78
E01000341,Lone parent household,83
E01000341,Multi-person household,1
E01000342,Does not apply,0
E01000342,One-person household,185
E01000342,Married or civil partnership couple household,262
E01000342,Cohabiting couple household,98
E01000342,Lone parent household,83
E01000342,Multi-person household,6
E01000343,Does not apply,0
E01000343,One-person household,124
E01000343,Married or civil partnership couple household,299
E01000343,Cohabiting couple household,65
E01000343,Lone parent household,61
E01000343,Multi-person household,10
E01000344,Does not apply,0
E01000344,One-person household,160
E01000344,Married or civil partnership couple household,318
E01000344,Cohabiting couple household,71
E01000344,Lone parent household,73
E01000344,Multi-person household,15
E01000345,Does not apply,0
E01000345,One-person household,77
E01000345,Married or civil partnership couple household,285
E01000345,Cohabiting couple household,62
E01000345,Lone parent household,59
E01000345,Multi-person household,6
E01000346,Does not apply,0
E01000346,One-person household,141
E01000346,Married or civil partnership couple household,301
E01000346,Cohabiting couple household,109
E01000346,Lone parent household,59
E01000346,Multi-person household,8
E01000347,Does not apply,0
E01000347,One-person household,191
E01000347,Married or civil partnership couple household,264
E01000347,Cohabiting couple household,83
E01000347,Lone parent household,77
E01000347,Multi-person household,11
E01000348,Does not apply,0
E01000348,One-person household,74
E01000348,Married or civil partnership couple household,359
E01000348,Cohabiting couple household,54
E01000348,Lone parent household,35
E01000348,Multi-person household,3
E01000349,Does not apply,0
E01000349,One-person household,142
E01000349,Married or civil partnership couple household,390
E01000349,Cohabiting couple household,51
E01000349,Lone parent household,64
E01000349,Multi-person household,8
E01000350,Does not apply,0
E01000350,One-person household,87
E01000350,Married or civil partnership couple household,316
E01000350,Cohabiting couple household,56
E01000350,Lone parent household,56
E01000350,Multi-person household,9
E01000351,Does not apply,0
E01000351,One-person household,124
E01000351,Married or civil partnership couple household,345
E01000351,Cohabiting couple household,88
E01000351,Lone parent household,56
E01000351,Multi-person household,11
E01000352,Does not apply,0
E01000352,One-person household,202
E01000352,Married or civil partnership couple household,275
E01000352,Cohabiting couple household,76
E01000352,Lone parent household,103
E01000352,Multi-person household,11
E01000353,Does not apply,0
E01000353,One-person household,148
E01000353,Married or civil partnership couple household,401
E01000353,Cohabiting couple household,53
E01000353,Lone parent household,41
E01000353,Multi-person household,9
E01000354,Does not apply,0
E01000354,One-person household,165
E01000354,Married or civil partnership couple household,265
E01000354,Cohabiting couple household,61
E01000354,Lone parent household,102
E01000354,Multi-person household,14
E01000355,Does not apply,0
E01000355,One-person household,146
E01000355,Married or civil partnership couple household,320
E01000355,Cohabiting couple household,73
E01000355,Lone parent household,51
E01000355,Multi-person household,11
E01000356,Does not apply,0
E01000356,One-person household,168
E01000356,Married or civil partnership couple household,341
E01000356,Cohabiting couple household,54
E01000356,Lone parent household,52
E01000356,Multi-person household,11
E01000357,Does not apply,0
E01000357,One-person household,85
E01000357,Married or civil partnership couple household,318
E01000357,Cohabiting couple household,38
E01000357,Lone parent household,42
E01000357,Multi-person household,5
E01000358,Does not apply,0
E01000358,One-person household,163
E01000358,Married or civil partnership couple household,342
E01000358,Cohabiting couple household,65
E01000358,Lone parent household,84
E01000358,Multi-person household,11
E01000359,Does not apply,0
E01000359,One-person household,102
E01000359,Married or civil partnership couple household,302
E01000359,Cohabiting couple household,38
E01000359,Lone parent household,38
E01000359,Multi-person household,15
E01000360,Does not apply,0
E01000360,One-person household,211
E01000360,Married or civil partnership couple household,291
E01000360,Cohabiting couple household,117
E01000360,Lone parent household,122
E01000360,Multi-person household,34
E01000361,Does not apply,0
E01000361,One-person household,118
E01000361,Married or civil partnership couple household,290
E01000361,Cohabiting couple household,100
E01000361,Lone parent household,83
E01000361,Multi-person household,9
E01000362,Does not apply,0
E01000362,One-person household,231
E01000362,Married or civil partnership couple household,313
E01000362,Cohabiting couple household,108
E01000362,Lone parent household,105
E01000362,Multi-person household,19
E01000363,Does not apply,0
E01000363,One-person household,115
E01000363,Married or civil partnership couple household,324
E01000363,Cohabiting couple household,62
E01000363,Lone parent household,55
E01000363,Multi-person household,9
E01000364,Does not apply,0
E01000364,One-person household,165
E01000364,Married or civil partnership couple household,336
E01000364,Cohabiting couple household,74
E01000364,Lone parent household,69
E01000364,Multi-person household,6
E01000365,Does not apply,0
E01000365,One-person household,227
E01000365,Married or civil partnership couple household,306
E01000365,Cohabiting couple household,70
E01000365,Lone parent household,91
E01000365,Multi-person household,14
E01000366,Does not apply,0
E01000366,One-person household,170
E01000366,Married or civil partnership couple household,333
E01000366,Cohabiting couple household,74
E01000366,Lone parent household,75
E01000366,Multi-person household,7
E01000367,Does not apply,0
E01000367,One-person household,188
E01000367,Married or civil partnership couple household,285
E01000367,Cohabiting couple household,103
E01000367,Lone parent household,206
E01000367,Multi-person household,14
E01000368,Does not apply,0
E01000368,One-person household,140
E01000368,Married or civil partnership couple household,206
E01000368,Cohabiting couple household,100
E01000368,Lone parent household,167
E01000368,Multi-person household,14
E01000369,Does not apply,0
E01000369,One-person household,131
E01000369,Married or civil partnership couple household,324
E01000369,Cohabiting couple household,74
E01000369,Lone parent household,87
E01000369,Multi-person household,13
E01000370,Does not apply,0
E01000370,One-person household,176
E01000370,Married or civil partnership couple household,333
E01000370,Cohabiting couple household,61
E01000370,Lone parent household,55
E01000370,Multi-person household,11
E01000371,Does not apply,0
E01000371,One-person household,136
E01000371,Married or civil partnership couple household,311
E01000371,Cohabiting couple household,100
E01000371,Lone parent household,74
E01000371,Multi-person household,9
E01000372,Does not apply,0
E01000372,One-person household,121
E01000372,Married or civil partnership couple household,272
E01000372,Cohabiting couple household,52
E01000372,Lone parent household,128
E01000372,Multi-person household,14
E01000373,Does not apply,0
E01000373,One-person household,111
E01000373,Married or civil partnership couple household,165
E01000373,Cohabiting couple household,78
E01000373,Lone parent household,101
E01000373,Multi-person household,7
E01000374,Does not apply,0
E01000374,One-person household,98
E01000374,Married or civil partnership couple household,226
E01000374,Cohabiting couple household,61
E01000374,Lone parent household,131
E01000374,Multi-person household,7
E01000375,Does not apply,0
E01000375,One-person household,171
E01000375,Married or civil partnership couple household,327
E01000375,Cohabiting couple household,139
E01000375,Lone parent household,127
E01000375,Multi-person household,22
E01000376,Does not apply,0
E01000376,One-person household,144
E01000376,Married or civil partnership couple household,276
E01000376,Cohabiting couple household,107
E01000376,Lone parent household,74
E01000376,Multi-person household,8
E01000377,Does not apply,0
E01000377,One-person household,203
E01000377,Married or civil partnership couple household,252
E01000377,Cohabiting couple household,99
E01000377,Lone parent household,87
E01000377,Multi-person household,12
E01000379,Does not apply,0
E01000379,One-person household,163
E01000379,Married or civil partnership couple household,288
E01000379,Cohabiting couple household,98
E01000379,Lone parent household,104
E01000379,Multi-person household,17
E01000380,Does not apply,0
E01000380,One-person household,420
E01000380,Married or civil partnership couple household,246
E01000380,Cohabiting couple household,110
E01000380,Lone parent household,110
E01000380,Multi-person household,17
E01000381,Does not apply,0
E01000381,One-person household,182
E01000381,Married or civil partnership couple household,258
E01000381,Cohabiting couple household,72
E01000381,Lone parent household,122
E01000381,Multi-person household,21
E01000382,Does not apply,0
E01000382,One-person household,119
E01000382,Married or civil partnership couple household,363
E01000382,Cohabiting couple household,53
E01000382,Lone parent household,47
E01000382,Multi-person household,6
E01000383,Does not apply,0
E01000383,One-person household,147
E01000383,Married or civil partnership couple household,318
E01000383,Cohabiting couple household,72
E01000383,Lone parent household,74
E01000383,Multi-person household,14
E01000384,Does not apply,0
E01000384,One-person household,260
E01000384,Married or civil partnership couple household,297
E01000384,Cohabiting couple household,87
E01000384,Lone parent household,93
E01000384,Multi-person household,22
E01000385,Does not apply,0
E01000385,One-person household,215
E01000385,Married or civil partnership couple household,250
E01000385,Cohabiting couple household,85
E01000385,Lone parent household,215
E01000385,Multi-person household,21
E01000386,Does not apply,0
E01000386,One-person household,233
E01000386,Married or civil partnership couple household,181
E01000386,Cohabiting couple household,71
E01000386,Lone parent household,138
E01000386,Multi-person household,22
E01000387,Does not apply,0
E01000387,One-person household,158
E01000387,Married or civil partnership couple household,326
E01000387,Cohabiting couple household,65
E01000387,Lone parent household,63
E01000387,Multi-person household,8
E01000388,Does not apply,0
E01000388,One-person household,149
E01000388,Married or civil partnership couple household,332
E01000388,Cohabiting couple household,53
E01000388,Lone parent household,54
E01000388,Multi-person household,11
E01000389,Does not apply,0
E01000389,One-person household,225
E01000389,Married or civil partnership couple household,329
E01000389,Cohabiting couple household,72
E01000389,Lone parent household,77
E01000389,Multi-person household,9
E01000390,Does not apply,0
E01000390,One-person household,127
E01000390,Married or civil partnership couple household,258
E01000390,Cohabiting couple household,69
E01000390,Lone parent household,53
E01000390,Multi-person household,8
E01000391,Does not apply,0
E01000391,One-person household,124
E01000391,Married or civil partnership couple household,312
E01000391,Cohabiting couple household,92
E01000391,Lone parent household,99
E01000391,Multi-person household,9
E01000392,Does not apply,0
E01000392,One-person household,215
E01000392,Married or civil partnership couple household,260
E01000392,Cohabiting couple household,90
E01000392,Lone parent household,172
E01000392,Multi-person household,27
E01000393,Does not apply,0
E01000393,One-person household,135
E01000393,Married or civil partnership couple household,322
E01000393,Cohabiting couple household,89
E01000393,Lone parent household,72
E01000393,Multi-person household,8
E01000394,Does not apply,0
E01000394,One-person household,210
E01000394,Married or civil partnership couple household,285
E01000394,Cohabiting couple household,76
E01000394,Lone parent household,80
E01000394,Multi-person household,17
E01000395,Does not apply,0
E01000395,One-person household,88
E01000395,Married or civil partnership couple household,357
E01000395,Cohabiting couple household,40
E01000395,Lone parent household,54
E01000395,Multi-person household,7
E01000396,Does not apply,0
E01000396,One-person household,92
E01000396,Married or civil partnership couple household,303
E01000396,Cohabiting couple household,48
E01000396,Lone parent household,52
E01000396,Multi-person household,13
E01000398,Does not apply,0
E01000398,One-person household,145
E01000398,Married or civil partnership couple household,276
E01000398,Cohabiting couple household,79
E01000398,Lone parent household,100
E01000398,Multi-person household,9
E01000399,Does not apply,0
E01000399,One-person household,165
E01000399,Married or civil partnership couple household,328
E01000399,Cohabiting couple household,53
E01000399,Lone parent household,56
E01000399,Multi-person household,21
E01000400,Does not apply,0
E01000400,One-person household,144
E01000400,Married or civil partnership couple household,302
E01000400,Cohabiting couple household,49
E01000400,Lone parent household,84
E01000400,Multi-person household,12
E01000401,Does not apply,0
E01000401,One-person household,200
E01000401,Married or civil partnership couple household,259
E01000401,Cohabiting couple household,65
E01000401,Lone parent household,150
E01000401,Multi-person household,17
E01000402,Does not apply,0
E01000402,One-person household,198
E01000402,Married or civil partnership couple household,226
E01000402,Cohabiting couple household,82
E01000402,Lone parent household,128
E01000402,Multi-person household,18
E01000403,Does not apply,0
E01000403,One-person household,404
E01000403,Married or civil partnership couple household,296
E01000403,Cohabiting couple household,103
E01000403,Lone parent household,231
E01000403,Multi-person household,27
E01000404,Does not apply,0
E01000404,One-person household,326
E01000404,Married or civil partnership couple household,241
E01000404,Cohabiting couple household,117
E01000404,Lone parent household,271
E01000404,Multi-person household,36
E01000405,Does not apply,0
E01000405,One-person household,131
E01000405,Married or civil partnership couple household,211
E01000405,Cohabiting couple household,76
E01000405,Lone parent household,131
E01000405,Multi-person household,16
E01000406,Does not apply,0
E01000406,One-person household,186
E01000406,Married or civil partnership couple household,299
E01000406,Cohabiting couple household,128
E01000406,Lone parent household,153
E01000406,Multi-person household,21
E01000407,Does not apply,0
E01000407,One-person household,240
E01000407,Married or civil partnership couple household,332
E01000407,Cohabiting couple household,95
E01000407,Lone parent household,78
E01000407,Multi-person household,13
E01000408,Does not apply,0
E01000408,One-person household,100
E01000408,Married or civil partnership couple household,268
E01000408,Cohabiting couple household,67
E01000408,Lone parent household,128
E01000408,Multi-person household,19
E01000409,Does not apply,0
E01000409,One-person household,150
E01000409,Married or civil partnership couple household,351
E01000409,Cohabiting couple household,91
E01000409,Lone parent household,55
E01000409,Multi-person household,7
E01000410,Does not apply,0
E01000410,One-person household,122
E01000410,Married or civil partnership couple household,327
E01000410,Cohabiting couple household,69
E01000410,Lone parent household,63
E01000410,Multi-person household,17
E01000411,Does not apply,0
E01000411,One-person household,117
E01000411,Married or civil partnership couple household,281
E01000411,Cohabiting couple household,67
E01000411,Lone parent household,81
E01000411,Multi-person household,9
E01000412,Does not apply,0
E01000412,One-person household,150
E01000412,Married or civil partnership couple household,321
E01000412,Cohabiting couple household,85
E01000412,Lone parent household,67
E01000412,Multi-person household,15
E01000413,Does not apply,0
E01000413,One-person household,118
E01000413,Married or civil partnership couple household,241
E01000413,Cohabiting couple household,85
E01000413,Lone parent household,76
E01000413,Multi-person household,4
E01000414,Does not apply,0
E01000414,One-person household,208
E01000414,Married or civil partnership couple household,315
E01000414,Cohabiting couple household,65
E01000414,Lone parent household,105
E01000414,Multi-person household,34
E01000415,Does not apply,0
E01000415,One-person household,95
E01000415,Married or civil partnership couple household,327
E01000415,Cohabiting couple household,48
E01000415,Lone parent household,39
E01000415,Multi-person household,8
E01000416,Does not apply,0
E01000416,One-person household,86
E01000416,Married or civil partnership couple household,211
E01000416,Cohabiting couple household,64
E01000416,Lone parent household,129
E01000416,Multi-person household,20
E01000417,Does not apply,0
E01000417,One-person household,197
E01000417,Married or civil partnership couple household,311
E01000417,Cohabiting couple household,69
E01000417,Lone parent household,104
E01000417,Multi-person household,22
E01000418,Does not apply,0
E01000418,One-person household,195
E01000418,Married or civil partnership couple household,295
E01000418,Cohabiting couple household,96
E01000418,Lone parent household,122
E01000418,Multi-person household,21
E01000419,Does not apply,0
E01000419,One-person household,136
E01000419,Married or civil partnership couple household,329
E01000419,Cohabiting couple household,47
E01000419,Lone parent household,61
E01000419,Multi-person household,10
E01000420,Does not apply,0
E01000420,One-person household,138
E01000420,Married or civil partnership couple household,308
E01000420,Cohabiting couple household,60
E01000420,Lone parent household,73
E01000420,Multi-person household,11
E01000421,Does not apply,0
E01000421,One-person household,135
E01000421,Married or civil partnership couple household,367
E01000421,Cohabiting couple household,50
E01000421,Lone parent household,39
E01000421,Multi-person household,5
E01000422,Does not apply,0
E01000422,One-person household,178
E01000422,Married or civil partnership couple household,114
E01000422,Cohabiting couple household,43
E01000422,Lone parent household,149
E01000422,Multi-person household,15
E01000423,Does not apply,0
E01000423,One-person household,125
E01000423,Married or civil partnership couple household,361
E01000423,Cohabiting couple household,67
E01000423,Lone parent household,37
E01000423,Multi-person household,16
E01000424,Does not apply,0
E01000424,One-person household,253
E01000424,Married or civil partnership couple household,314
E01000424,Cohabiting couple household,91
E01000424,Lone parent household,65
E01000424,Multi-person household,26
E01000425,Does not apply,0
E01000425,One-person household,91
E01000425,Married or civil partnership couple household,400
E01000425,Cohabiting couple household,57
E01000425,Lone parent household,49
E01000425,Multi-person household,7
E01000426,Does not apply,0
E01000426,One-person household,192
E01000426,Married or civil partnership couple household,281
E01000426,Cohabiting couple household,125
E01000426,Lone parent household,86
E01000426,Multi-person household,23
E01000427,Does not apply,0
E01000427,One-person household,340
E01000427,Married or civil partnership couple household,341
E01000427,Cohabiting couple household,96
E01000427,Lone parent household,105
E01000427,Multi-person household,27
E01000428,Does not apply,0
E01000428,One-person household,405
E01000428,Married or civil partnership couple household,234
E01000428,Cohabiting couple household,114
E01000428,Lone parent household,120
E01000428,Multi-person household,37
E01000429,Does not apply,0
E01000429,One-person household,240
E01000429,Married or civil partnership couple household,168
E01000429,Cohabiting couple household,88
E01000429,Lone parent household,183
E01000429,Multi-person household,30
E01000430,Does not apply,0
E01000430,One-person household,126
E01000430,Married or civil partnership couple household,313
E01000430,Cohabiting couple household,89
E01000430,Lone parent household,157
E01000430,Multi-person household,21
E01000431,Does not apply,0
E01000431,One-person household,111
E01000431,Married or civil partnership couple household,163
E01000431,Cohabiting couple household,48
E01000431,Lone parent household,99
E01000431,Multi-person household,10
E01000433,Does not apply,0
E01000433,One-person household,181
E01000433,Married or civil partnership couple household,221
E01000433,Cohabiting couple household,88
E01000433,Lone parent household,203
E01000433,Multi-person household,19
E01000434,Does not apply,0
E01000434,One-person household,150
E01000434,Married or civil partnership couple household,193
E01000434,Cohabiting couple household,66
E01000434,Lone parent household,151
E01000434,Multi-person household,14
E01000435,Does not apply,0
E01000435,One-person household,167
E01000435,Married or civil partnership couple household,206
E01000435,Cohabiting couple household,74
E01000435,Lone parent household,131
E01000435,Multi-person household,7
E01000436,Does not apply,0
E01000436,One-person household,106
E01000436,Married or civil partnership couple household,402
E01000436,Cohabiting couple household,51
E01000436,Lone parent household,58
E01000436,Multi-person household,5
E01000437,Does not apply,0
E01000437,One-person household,119
E01000437,Married or civil partnership couple household,253
E01000437,Cohabiting couple household,61
E01000437,Lone parent household,62
E01000437,Multi-person household,7
E01000438,Does not apply,0
E01000438,One-person household,118
E01000438,Married or civil partnership couple household,256
E01000438,Cohabiting couple household,88
E01000438,Lone parent household,127
E01000438,Multi-person household,12
E01000439,Does not apply,0
E01000439,One-person household,119
E01000439,Married or civil partnership couple household,214
E01000439,Cohabiting couple household,58
E01000439,Lone parent household,111
E01000439,Multi-person household,15
E01000440,Does not apply,0
E01000440,One-person household,116
E01000440,Married or civil partnership couple household,304
E01000440,Cohabiting couple household,49
E01000440,Lone parent household,38
E01000440,Multi-person household,7
E01000441,Does not apply,0
E01000441,One-person household,184
E01000441,Married or civil partnership couple household,238
E01000441,Cohabiting couple household,93
E01000441,Lone parent household,171
E01000441,Multi-person household,14
E01000442,Does not apply,0
E01000442,One-person household,153
E01000442,Married or civil partnership couple household,339
E01000442,Cohabiting couple household,61
E01000442,Lone parent household,68
E01000442,Multi-person household,6
E01000443,Does not apply,0
E01000443,One-person household,133
E01000443,Married or civil partnership couple household,236
E01000443,Cohabiting couple household,61
E01000443,Lone parent household,75
E01000443,Multi-person household,12
E01000444,Does not apply,0
E01000444,One-person household,122
E01000444,Married or civil partnership couple household,401
E01000444,Cohabiting couple household,59
E01000444,Lone parent household,49
E01000444,Multi-person household,1
E01000445,Does not apply,0
E01000445,One-person household,172
E01000445,Married or civil partnership couple household,352
E01000445,Cohabiting couple household,77
E01000445,Lone parent household,64
E01000445,Multi-person household,7
E01000446,Does not apply,0
E01000446,One-person household,122
E01000446,Married or civil partnership couple household,284
E01000446,Cohabiting couple household,107
E01000446,Lone parent household,71
E01000446,Multi-person household,13
E01000447,Does not apply,0
E01000447,One-person household,293
E01000447,Married or civil partnership couple household,280
E01000447,Cohabiting couple household,174
E01000447,Lone parent household,110
E01000447,Multi-person household,25
E01000448,Does not apply,0
E01000448,One-person household,110
E01000448,Married or civil partnership couple household,322
E01000448,Cohabiting couple household,40
E01000448,Lone parent household,34
E01000448,Multi-person household,4
E01000449,Does not apply,0
E01000449,One-person household,178
E01000449,Married or civil partnership couple household,356
E01000449,Cohabiting couple household,62
E01000449,Lone parent household,37
E01000449,Multi-person household,9
E01000450,Does not apply,0
E01000450,One-person household,133
E01000450,Married or civil partnership couple household,317
E01000450,Cohabiting couple household,69
E01000450,Lone parent household,104
E01000450,Multi-person household,9
E01000451,Does not apply,0
E01000451,One-person household,102
E01000451,Married or civil partnership couple household,343
E01000451,Cohabiting couple household,84
E01000451,Lone parent household,83
E01000451,Multi-person household,10
E01000452,Does not apply,0
E01000452,One-person household,83
E01000452,Married or civil partnership couple household,297
E01000452,Cohabiting couple household,61
E01000452,Lone parent household,45
E01000452,Multi-person household,8
E01000453,Does not apply,0
E01000453,One-person household,86
E01000453,Married or civil partnership couple household,297
E01000453,Cohabiting couple household,63
E01000453,Lone parent household,58
E01000453,Multi-person household,11
E01000454,Does not apply,0
E01000454,One-person household,176
E01000454,Married or civil partnership couple household,286
E01000454,Cohabiting couple household,78
E01000454,Lone parent household,77
E01000454,Multi-person household,14
E01000455,Does not apply,0
E01000455,One-person household,98
E01000455,Married or civil partnership couple household,370
E01000455,Cohabiting couple household,72
E01000455,Lone parent household,64
E01000455,Multi-person household,16
E01000456,Does not apply,0
E01000456,One-person household,59
E01000456,Married or civil partnership couple household,319
E01000456,Cohabiting couple household,48
E01000456,Lone parent household,52
E01000456,Multi-person household,4
E01000457,Does not apply,0
E01000457,One-person household,389
E01000457,Married or civil partnership couple household,239
E01000457,Cohabiting couple household,160
E01000457,Lone parent household,109
E01000457,Multi-person household,98
E01000458,Does not apply,0
E01000458,One-person household,243
E01000458,Married or civil partnership couple household,319
E01000458,Cohabiting couple household,54
E01000458,Lone parent household,49
E01000458,Multi-person household,21
E01000459,Does not apply,0
E01000459,One-person household,353
E01000459,Married or civil partnership couple household,299
E01000459,Cohabiting couple household,98
E01000459,Lone parent household,92
E01000459,Multi-person household,43
E01000460,Does not apply,0
E01000460,One-person household,93
E01000460,Married or civil partnership couple household,319
E01000460,Cohabiting couple household,40
E01000460,Lone parent household,27
E01000460,Multi-person household,4
E01000461,Does not apply,0
E01000461,One-person household,74
E01000461,Married or civil partnership couple household,372
E01000461,Cohabiting couple household,48
