Lower layer Super Output Areas Code,Car or van availability (3 categories),Observation
E01001053,Does not apply,0
E01001053,No cars or vans in household,141
E01001053,1 or more cars or vans in household,393
E01001054,Does not apply,0
E01001054,No cars or vans in household,195
E01001054,1 or more cars or vans in household,396
E01001055,Does not apply,0
E01001055,No cars or vans in household,204
E01001055,1 or more cars or vans in household,371
E01001056,Does not apply,0
E01001056,No cars or vans in household,225
E01001056,1 or more cars or vans in household,351
E01001057,Does not apply,0
E01001057,No cars or vans in household,268
E01001057,1 or more cars or vans in household,332
E01001058,Does not apply,0
E01001058,No cars or vans in household,83
E01001058,1 or more cars or vans in household,442
E01001059,Does not apply,0
E01001059,No cars or vans in household,136
E01001059,1 or more cars or vans in household,532
E01001060,Does not apply,0
E01001060,No cars or vans in household,108
E01001060,1 or more cars or vans in household,536
E01001061,Does not apply,0
E01001061,No cars or vans in household,141
E01001061,1 or more cars or vans in household,510
E01001062,Does not apply,0
E01001062,No cars or vans in household,64
E01001062,1 or more cars or vans in household,493
E01001063,Does not apply,0
E01001063,No cars or vans in household,92
E01001063,1 or more cars or vans in household,485
E01001064,Does not apply,0
E01001064,No cars or vans in household,70
E01001064,1 or more cars or vans in household,544
E01001065,Does not apply,0
E01001065,No cars or vans in household,153
E01001065,1 or more cars or vans in household,495
E01001066,Does not apply,0
E01001066,No cars or vans in household,186
E01001066,1 or more cars or vans in household,339
E01001067,Does not apply,0
E01001067,No cars or vans in household,41
E01001067,1 or more cars or vans in household,535
E01001068,Does not apply,0
E01001068,No cars or vans in household,117
E01001068,1 or more cars or vans in household,636
E01001069,Does not apply,0
E01001069,No cars or vans in household,56
E01001069,1 or more cars or vans in household,450
E01001070,Does not apply,0
E01001070,No cars or vans in household,101
E01001070,1 or more cars or vans in household,545
E01001071,Does not apply,0
E01001071,No cars or vans in household,107
E01001071,1 or more cars or vans in household,616
E01001072,Does not apply,0
E01001072,No cars or vans in household,30
E01001072,1 or more cars or vans in household,509
E01001073,Does not apply,0
E01001073,No cars or vans in household,150
E01001073,1 or more cars or vans in household,432
E01001074,Does not apply,0
E01001074,No cars or vans in household,227
E01001074,1 or more cars or vans in household,589
E01001075,Does not apply,0
E01001075,No cars or vans in household,130
E01001075,1 or more cars or vans in household,514
E01001076,Does not apply,0
E01001076,No cars or vans in household,176
E01001076,1 or more cars or vans in household,392
E01001077,Does not apply,0
E01001077,No cars or vans in household,93
E01001077,1 or more cars or vans in household,421
E01001078,Does not apply,0
E01001078,No cars or vans in household,141
E01001078,1 or more cars or vans in household,369
E01001079,Does not apply,0
E01001079,No cars or vans in household,177
E01001079,1 or more cars or vans in household,411
E01001080,Does not apply,0
E01001080,No cars or vans in household,278
E01001080,1 or more cars or vans in household,307
E01001081,Does not apply,0
E01001081,No cars or vans in household,113
E01001081,1 or more cars or vans in household,383
E01001082,Does not apply,0
E01001082,No cars or vans in household,127
E01001082,1 or more cars or vans in household,396
E01001083,Does not apply,0
E01001083,No cars or vans in household,95
E01001083,1 or more cars or vans in household,450
E01001084,Does not apply,0
E01001084,No cars or vans in household,134
E01001084,1 or more cars or vans in household,531
E01001085,Does not apply,0
E01001085,No cars or vans in household,267
E01001085,1 or more cars or vans in household,381
E01001086,Does not apply,0
E01001086,No cars or vans in household,136
E01001086,1 or more cars or vans in household,454
E01001087,Does not apply,0
E01001087,No cars or vans in household,569
E01001087,1 or more cars or vans in household,561
E01001088,Does not apply,0
E01001088,No cars or vans in household,149
E01001088,1 or more cars or vans in household,426
E01001089,Does not apply,0
E01001089,No cars or vans in household,264
E01001089,1 or more cars or vans in household,383
E01001090,Does not apply,0
E01001090,No cars or vans in household,344
E01001090,1 or more cars or vans in household,542
E01001091,Does not apply,0
E01001091,No cars or vans in household,141
E01001091,1 or more cars or vans in household,423
E01001092,Does not apply,0
E01001092,No cars or vans in household,140
E01001092,1 or more cars or vans in household,560
E01001093,Does not apply,0
E01001093,No cars or vans in household,152
E01001093,1 or more cars or vans in household,559
E01001094,Does not apply,0
E01001094,No cars or vans in household,47
E01001094,1 or more cars or vans in household,518
E01001095,Does not apply,0
E01001095,No cars or vans in household,150
E01001095,1 or more cars or vans in household,445
E01001096,Does not apply,0
E01001096,No cars or vans in household,56
E01001096,1 or more cars or vans in household,477
E01001097,Does not apply,0
E01001097,No cars or vans in household,552
E01001097,1 or more cars or vans in household,618
E01001098,Does not apply,0
E01001098,No cars or vans in household,45
E01001098,1 or more cars or vans in household,490
E01001099,Does not apply,0
E01001099,No cars or vans in household,120
E01001099,1 or more cars or vans in household,477
E01001100,Does not apply,0
E01001100,No cars or vans in household,120
E01001100,1 or more cars or vans in household,482
E01001101,Does not apply,0
E01001101,No cars or vans in household,30
E01001101,1 or more cars or vans in household,476
E01001102,Does not apply,0
E01001102,No cars or vans in household,121
E01001102,1 or more cars or vans in household,513
E01001103,Does not apply,0
E01001103,No cars or vans in household,81
E01001103,1 or more cars or vans in household,563
E01001104,Does not apply,0
E01001104,No cars or vans in household,71
E01001104,1 or more cars or vans in household,571
E01001105,Does not apply,0
E01001105,No cars or vans in household,96
E01001105,1 or more cars or vans in household,527
E01001106,Does not apply,0
E01001106,No cars or vans in household,73
E01001106,1 or more cars or vans in household,488
E01001107,Does not apply,0
E01001107,No cars or vans in household,79
E01001107,1 or more cars or vans in household,589
E01001108,Does not apply,0
E01001108,No cars or vans in household,55
E01001108,1 or more cars or vans in household,588
E01001109,Does not apply,0
E01001109,No cars or vans in household,477
E01001109,1 or more cars or vans in household,486
E01001110,Does not apply,0
E01001110,No cars or vans in household,479
E01001110,1 or more cars or vans in household,414
E01001111,Does not apply,0
E01001111,No cars or vans in household,253
E01001111,1 or more cars or vans in household,387
E01001112,Does not apply,0
E01001112,No cars or vans in household,371
E01001112,1 or more cars or vans in household,484
E01001113,Does not apply,0
E01001113,No cars or vans in household,395
E01001113,1 or more cars or vans in household,463
E01001114,Does not apply,0
E01001114,No cars or vans in household,277
E01001114,1 or more cars or vans in household,325
E01001115,Does not apply,0
E01001115,No cars or vans in household,280
E01001115,1 or more cars or vans in household,369
E01001116,Does not apply,0
E01001116,No cars or vans in household,281
E01001116,1 or more cars or vans in household,325
E01001118,Does not apply,0
E01001118,No cars or vans in household,447
E01001118,1 or more cars or vans in household,433
E01001119,Does not apply,0
E01001119,No cars or vans in household,57
E01001119,1 or more cars or vans in household,522
E01001120,Does not apply,0
E01001120,No cars or vans in household,81
E01001120,1 or more cars or vans in household,427
E01001121,Does not apply,0
E01001121,No cars or vans in household,55
E01001121,1 or more cars or vans in household,485
E01001122,Does not apply,0
E01001122,No cars or vans in household,33
E01001122,1 or more cars or vans in household,427
E01001123,Does not apply,0
E01001123,No cars or vans in household,64
E01001123,1 or more cars or vans in household,538
E01001124,Does not apply,0
E01001124,No cars or vans in household,59
E01001124,1 or more cars or vans in household,544
E01001125,Does not apply,0
E01001125,No cars or vans in household,112
E01001125,1 or more cars or vans in household,497
E01001126,Does not apply,0
E01001126,No cars or vans in household,73
E01001126,1 or more cars or vans in household,520
E01001127,Does not apply,0
E01001127,No cars or vans in household,71
E01001127,1 or more cars or vans in household,515
E01001128,Does not apply,0
E01001128,No cars or vans in household,198
E01001128,1 or more cars or vans in household,371
E01001129,Does not apply,0
E01001129,No cars or vans in household,33
E01001129,1 or more cars or vans in household,473
E01001130,Does not apply,0
E01001130,No cars or vans in household,246
E01001130,1 or more cars or vans in household,313
E01001131,Does not apply,0
E01001131,No cars or vans in household,134
E01001131,1 or more cars or vans in household,526
E01001132,Does not apply,0
E01001132,No cars or vans in household,76
E01001132,1 or more cars or vans in household,569
E01001133,Does not apply,0
E01001133,No cars or vans in household,185
E01001133,1 or more cars or vans in household,545
E01001134,Does not apply,0
E01001134,No cars or vans in household,117
E01001134,1 or more cars or vans in household,560
E01001135,Does not apply,0
E01001135,No cars or vans in household,113
E01001135,1 or more cars or vans in household,525
E01001136,Does not apply,0
E01001136,No cars or vans in household,527
E01001136,1 or more cars or vans in household,456
E01001137,Does not apply,0
E01001137,No cars or vans in household,398
E01001137,1 or more cars or vans in household,573
E01001138,Does not apply,0
E01001138,No cars or vans in household,297
E01001138,1 or more cars or vans in household,422
E01001139,Does not apply,0
E01001139,No cars or vans in household,267
E01001139,1 or more cars or vans in household,446
E01001140,Does not apply,0
E01001140,No cars or vans in household,307
E01001140,1 or more cars or vans in household,452
E01001141,Does not apply,0
E01001141,No cars or vans in household,256
E01001141,1 or more cars or vans in household,316
E01001142,Does not apply,0
E01001142,No cars or vans in household,242
E01001142,1 or more cars or vans in household,504
E01001143,Does not apply,0
E01001143,No cars or vans in household,381
E01001143,1 or more cars or vans in household,444
E01001144,Does not apply,0
E01001144,No cars or vans in household,423
E01001144,1 or more cars or vans in household,377
E01001145,Does not apply,0
E01001145,No cars or vans in household,511
E01001145,1 or more cars or vans in household,359
E01001146,Does not apply,0
E01001146,No cars or vans in household,179
E01001146,1 or more cars or vans in household,426
E01001147,Does not apply,0
E01001147,No cars or vans in household,246
E01001147,1 or more cars or vans in household,423
E01001148,Does not apply,0
E01001148,No cars or vans in household,233
E01001148,1 or more cars or vans in household,469
E01001149,Does not apply,0
E01001149,No cars or vans in household,196
E01001149,1 or more cars or vans in household,425
E01001150,Does not apply,0
E01001150,No cars or vans in household,174
E01001150,1 or more cars or vans in household,464
E01001151,Does not apply,0
E01001151,No cars or vans in household,299
E01001151,1 or more cars or vans in household,372
E01001152,Does not apply,0
E01001152,No cars or vans in household,406
E01001152,1 or more cars or vans in household,384
E01001153,Does not apply,0
E01001153,No cars or vans in household,225
E01001153,1 or more cars or vans in household,389
E01001154,Does not apply,0
E01001154,No cars or vans in household,310
E01001154,1 or more cars or vans in household,417
E01001155,Does not apply,0
E01001155,No cars or vans in household,495
E01001155,1 or more cars or vans in household,290
E01001156,Does not apply,0
E01001156,No cars or vans in household,279
E01001156,1 or more cars or vans in household,441
E01001157,Does not apply,0
E01001157,No cars or vans in household,144
E01001157,1 or more cars or vans in household,479
E01001158,Does not apply,0
E01001158,No cars or vans in household,244
E01001158,1 or more cars or vans in household,425
E01001159,Does not apply,0
E01001159,No cars or vans in household,190
E01001159,1 or more cars or vans in household,550
E01001160,Does not apply,0
E01001160,No cars or vans in household,112
E01001160,1 or more cars or vans in household,515
E01001161,Does not apply,0
E01001161,No cars or vans in household,187
E01001161,1 or more cars or vans in household,363
E01001162,Does not apply,0
E01001162,No cars or vans in household,320
E01001162,1 or more cars or vans in household,481
E01001163,Does not apply,0
E01001163,No cars or vans in household,263
E01001163,1 or more cars or vans in household,572
E01001164,Does not apply,0
E01001164,No cars or vans in household,470
E01001164,1 or more cars or vans in household,522
E01001165,Does not apply,0
E01001165,No cars or vans in household,287
E01001165,1 or more cars or vans in household,438
E01001166,Does not apply,0
E01001166,No cars or vans in household,476
E01001166,1 or more cars or vans in household,401
E01001167,Does not apply,0
E01001167,No cars or vans in household,216
E01001167,1 or more cars or vans in household,603
E01001168,Does not apply,0
E01001168,No cars or vans in household,246
E01001168,1 or more cars or vans in household,487
E01001169,Does not apply,0
E01001169,No cars or vans in household,196
E01001169,1 or more cars or vans in household,443
E01001170,Does not apply,0
E01001170,No cars or vans in household,410
E01001170,1 or more cars or vans in household,485
E01001171,Does not apply,0
E01001171,No cars or vans in household,279
E01001171,1 or more cars or vans in household,402
E01001172,Does not apply,0
E01001172,No cars or vans in household,241
E01001172,1 or more cars or vans in household,488
E01001173,Does not apply,0
E01001173,No cars or vans in household,316
E01001173,1 or more cars or vans in household,806
E01001174,Does not apply,0
E01001174,No cars or vans in household,135
E01001174,1 or more cars or vans in household,375
E01001175,Does not apply,0
E01001175,No cars or vans in household,238
E01001175,1 or more cars or vans in household,317
E01001176,Does not apply,0
E01001176,No cars or vans in household,230
E01001176,1 or more cars or vans in household,390
E01001177,Does not apply,0
E01001177,No cars or vans in household,183
E01001177,1 or more cars or vans in household,371
E01001178,Does not apply,0
E01001178,No cars or vans in household,342
E01001178,1 or more cars or vans in household,260
E01001179,Does not apply,0
E01001179,No cars or vans in household,163
E01001179,1 or more cars or vans in household,385
E01001180,Does not apply,0
E01001180,No cars or vans in household,269
E01001180,1 or more cars or vans in household,406
E01001181,Does not apply,0
E01001181,No cars or vans in household,470
E01001181,1 or more cars or vans in household,419
E01001182,Does not apply,0
E01001182,No cars or vans in household,138
E01001182,1 or more cars or vans in household,324
E01001183,Does not apply,0
E01001183,No cars or vans in household,284
E01001183,1 or more cars or vans in household,351
E01001184,Does not apply,0
E01001184,No cars or vans in household,126
E01001184,1 or more cars or vans in household,320
E01001185,Does not apply,0
E01001185,No cars or vans in household,268
E01001185,1 or more cars or vans in household,476
E01001186,Does not apply,0
E01001186,No cars or vans in household,383
E01001186,1 or more cars or vans in household,435
E01001187,Does not apply,0
E01001187,No cars or vans in household,269
E01001187,1 or more cars or vans in household,541
E01001188,Does not apply,0
E01001188,No cars or vans in household,302
E01001188,1 or more cars or vans in household,446
E01001189,Does not apply,0
E01001189,No cars or vans in household,112
E01001189,1 or more cars or vans in household,346
E01001190,Does not apply,0
E01001190,No cars or vans in household,179
E01001190,1 or more cars or vans in household,425
E01001191,Does not apply,0
E01001191,No cars or vans in household,402
E01001191,1 or more cars or vans in household,460
E01001192,Does not apply,0
E01001192,No cars or vans in household,304
E01001192,1 or more cars or vans in household,385
E01001193,Does not apply,0
E01001193,No cars or vans in household,182
E01001193,1 or more cars or vans in household,385
E01001194,Does not apply,0
E01001194,No cars or vans in household,178
E01001194,1 or more cars or vans in household,439
E01001195,Does not apply,0
E01001195,No cars or vans in household,175
E01001195,1 or more cars or vans in household,442
E01001196,Does not apply,0
E01001196,No cars or vans in household,369
E01001196,1 or more cars or vans in household,326
E01001197,Does not apply,0
E01001197,No cars or vans in household,296
E01001197,1 or more cars or vans in household,422
E01001198,Does not apply,0
E01001198,No cars or vans in household,202
E01001198,1 or more cars or vans in household,393
E01001199,Does not apply,0
E01001199,No cars or vans in household,313
E01001199,1 or more cars or vans in household,358
E01001200,Does not apply,0
E01001200,No cars or vans in household,223
E01001200,1 or more cars or vans in household,407
E01001201,Does not apply,0
E01001201,No cars or vans in household,245
E01001201,1 or more cars or vans in household,385
E01001202,Does not apply,0
E01001202,No cars or vans in household,568
E01001202,1 or more cars or vans in household,431
E01001203,Does not apply,0
E01001203,No cars or vans in household,544
E01001203,1 or more cars or vans in household,310
E01001204,Does not apply,0
E01001204,No cars or vans in household,126
E01001204,1 or more cars or vans in household,471
E01001205,Does not apply,0
E01001205,No cars or vans in household,235
E01001205,1 or more cars or vans in household,419
E01001206,Does not apply,0
E01001206,No cars or vans in household,254
E01001206,1 or more cars or vans in household,299
E01001207,Does not apply,0
E01001207,No cars or vans in household,291
E01001207,1 or more cars or vans in household,467
E01001208,Does not apply,0
E01001208,No cars or vans in household,83
E01001208,1 or more cars or vans in household,425
E01001209,Does not apply,0
E01001209,No cars or vans in household,127
E01001209,1 or more cars or vans in household,525
E01001210,Does not apply,0
E01001210,No cars or vans in household,356
E01001210,1 or more cars or vans in household,400
E01001211,Does not apply,0
E01001211,No cars or vans in household,237
E01001211,1 or more cars or vans in household,481
E01001212,Does not apply,0
E01001212,No cars or vans in household,206
E01001212,1 or more cars or vans in household,518
E01001213,Does not apply,0
E01001213,No cars or vans in household,194
E01001213,1 or more cars or vans in household,342
E01001214,Does not apply,0
E01001214,No cars or vans in household,110
E01001214,1 or more cars or vans in household,389
E01001215,Does not apply,0
E01001215,No cars or vans in household,300
E01001215,1 or more cars or vans in household,319
E01001216,Does not apply,0
E01001216,No cars or vans in household,143
E01001216,1 or more cars or vans in household,352
E01001217,Does not apply,0
E01001217,No cars or vans in household,73
E01001217,1 or more cars or vans in household,367
E01001218,Does not apply,0
E01001218,No cars or vans in household,265
E01001218,1 or more cars or vans in household,460
E01001219,Does not apply,0
E01001219,No cars or vans in household,330
E01001219,1 or more cars or vans in household,434
E01001220,Does not apply,0
E01001220,No cars or vans in household,192
E01001220,1 or more cars or vans in household,279
E01001223,Does not apply,0
E01001223,No cars or vans in household,250
E01001223,1 or more cars or vans in household,383
E01001224,Does not apply,0
E01001224,No cars or vans in household,120
E01001224,1 or more cars or vans in household,459
E01001225,Does not apply,0
E01001225,No cars or vans in household,384
E01001225,1 or more cars or vans in household,464
E01001226,Does not apply,0
E01001226,No cars or vans in household,262
E01001226,1 or more cars or vans in household,409
E01001227,Does not apply,0
E01001227,No cars or vans in household,158
E01001227,1 or more cars or vans in household,447
E01001228,Does not apply,0
E01001228,No cars or vans in household,386
E01001228,1 or more cars or vans in household,440
E01001229,Does not apply,0
E01001229,No cars or vans in household,241
E01001229,1 or more cars or vans in household,353
E01001230,Does not apply,0
E01001230,No cars or vans in household,208
E01001230,1 or more cars or vans in household,399
E01001231,Does not apply,0
E01001231,No cars or vans in household,249
E01001231,1 or more cars or vans in household,537
E01001232,Does not apply,0
E01001232,No cars or vans in household,193
E01001232,1 or more cars or vans in household,423
E01001233,Does not apply,0
E01001233,No cars or vans in household,260
E01001233,1 or more cars or vans in household,361
E01001234,Does not apply,0
E01001234,No cars or vans in household,266
E01001234,1 or more cars or vans in household,342
E01001235,Does not apply,0
E01001235,No cars or vans in household,336
E01001235,1 or more cars or vans in household,444
E01001236,Does not apply,0
E01001236,No cars or vans in household,329
E01001236,1 or more cars or vans in household,355
E01001237,Does not apply,0
E01001237,No cars or vans in household,266
E01001237,1 or more cars or vans in household,406
E01001239,Does not apply,0
E01001239,No cars or vans in household,267
E01001239,1 or more cars or vans in household,297
E01001240,Does not apply,0
E01001240,No cars or vans in household,369
E01001240,1 or more cars or vans in household,288
E01001241,Does not apply,0
E01001241,No cars or vans in household,317
E01001241,1 or more cars or vans in household,339
E01001242,Does not apply,0
E01001242,No cars or vans in household,253
E01001242,1 or more cars or vans in household,359
E01001243,Does not apply,0
E01001243,No cars or vans in household,532
E01001243,1 or more cars or vans in household,428
E01001244,Does not apply,0
E01001244,No cars or vans in household,664
E01001244,1 or more cars or vans in household,504
E01001245,Does not apply,0
E01001245,No cars or vans in household,507
E01001245,1 or more cars or vans in household,414
E01001246,Does not apply,0
E01001246,No cars or vans in household,482
E01001246,1 or more cars or vans in household,335
E01001247,Does not apply,0
E01001247,No cars or vans in household,355
E01001247,1 or more cars or vans in household,459
E01001248,Does not apply,0
E01001248,No cars or vans in household,165
E01001248,1 or more cars or vans in household,401
E01001249,Does not apply,0
E01001249,No cars or vans in household,666
E01001249,1 or more cars or vans in household,424
E01001250,Does not apply,0
E01001250,No cars or vans in household,495
E01001250,1 or more cars or vans in household,483
E01001251,Does not apply,0
E01001251,No cars or vans in household,240
E01001251,1 or more cars or vans in household,494
E01001252,Does not apply,0
E01001252,No cars or vans in household,423
E01001252,1 or more cars or vans in household,543
E01001253,Does not apply,0
E01001253,No cars or vans in household,233
E01001253,1 or more cars or vans in household,541
E01001254,Does not apply,0
E01001254,No cars or vans in household,253
E01001254,1 or more cars or vans in household,491
E01001255,Does not apply,0
E01001255,No cars or vans in household,155
E01001255,1 or more cars or vans in household,434
E01001257,Does not apply,0
E01001257,No cars or vans in household,293
E01001257,1 or more cars or vans in household,517
E01001258,Does not apply,0
E01001258,No cars or vans in household,171
E01001258,1 or more cars or vans in household,478
E01001259,Does not apply,0
E01001259,No cars or vans in household,157
E01001259,1 or more cars or vans in household,359
E01001260,Does not apply,0
E01001260,No cars or vans in household,198
E01001260,1 or more cars or vans in household,493
E01001261,Does not apply,0
E01001261,No cars or vans in household,354
E01001261,1 or more cars or vans in household,504
E01001262,Does not apply,0
E01001262,No cars or vans in household,180
E01001262,1 or more cars or vans in household,362
E01001263,Does not apply,0
E01001263,No cars or vans in household,227
E01001263,1 or more cars or vans in household,507
E01001264,Does not apply,0
E01001264,No cars or vans in household,153
E01001264,1 or more cars or vans in household,474
E01001265,Does not apply,0
E01001265,No cars or vans in household,170
E01001265,1 or more cars or vans in household,461
E01001266,Does not apply,0
E01001266,No cars or vans in household,133
E01001266,1 or more cars or vans in household,464
E01001267,Does not apply,0
E01001267,No cars or vans in household,337
E01001267,1 or more cars or vans in household,483
E01001268,Does not apply,0
E01001268,No cars or vans in household,127
E01001268,1 or more cars or vans in household,512
E01001269,Does not apply,0
E01001269,No cars or vans in household,225
E01001269,1 or more cars or vans in household,569
E01001270,Does not apply,0
E01001270,No cars or vans in household,97
E01001270,1 or more cars or vans in household,488
E01001271,Does not apply,0
E01001271,No cars or vans in household,169
E01001271,1 or more cars or vans in household,466
E01001272,Does not apply,0
E01001272,No cars or vans in household,177
E01001272,1 or more cars or vans in household,415
E01001273,Does not apply,0
E01001273,No cars or vans in household,132
E01001273,1 or more cars or vans in household,452
E01001274,Does not apply,0
E01001274,No cars or vans in household,177
E01001274,1 or more cars or vans in household,412
E01001275,Does not apply,0
E01001275,No cars or vans in household,428
E01001275,1 or more cars or vans in household,479
E01001276,Does not apply,0
E01001276,No cars or vans in household,253
E01001276,1 or more cars or vans in household,444
E01001277,Does not apply,0
E01001277,No cars or vans in household,227
E01001277,1 or more cars or vans in household,490
E01001278,Does not apply,0
E01001278,No cars or vans in household,313
E01001278,1 or more cars or vans in household,488
E01001279,Does not apply,0
E01001279,No cars or vans in household,71
E01001279,1 or more cars or vans in household,485
E01001280,Does not apply,0
E01001280,No cars or vans in household,253
E01001280,1 or more cars or vans in household,522
E01001281,Does not apply,0
E01001281,No cars or vans in household,143
E01001281,1 or more cars or vans in household,475
E01001282,Does not apply,0
E01001282,No cars or vans in household,207
E01001282,1 or more cars or vans in household,407
E01001283,Does not apply,0
E01001283,No cars or vans in household,374
E01001283,1 or more cars or vans in household,400
E01001284,Does not apply,0
E01001284,No cars or vans in household,141
E01001284,1 or more cars or vans in household,446
E01001285,Does not apply,0
E01001285,No cars or vans in household,159
E01001285,1 or more cars or vans in household,417
E01001286,Does not apply,0
E01001286,No cars or vans in household,204
E01001286,1 or more cars or vans in household,408
E01001287,Does not apply,0
E01001287,No cars or vans in household,159
E01001287,1 or more cars or vans in household,346
E01001288,Does not apply,0
E01001288,No cars or vans in household,163
E01001288,1 or more cars or vans in household,373
E01001289,Does not apply,0
E01001289,No cars or vans in household,120
E01001289,1 or more cars or vans in household,357
E01001290,Does not apply,0
E01001290,No cars or vans in household,248
E01001290,1 or more cars or vans in household,547
E01001291,Does not apply,0
E01001291,No cars or vans in household,77
E01001291,1 or more cars or vans in household,431
E01001292,Does not apply,0
E01001292,No cars or vans in household,95
E01001292,1 or more cars or vans in household,413
E01001293,Does not apply,0
E01001293,No cars or vans in household,153
E01001293,1 or more cars or vans in household,416
E01001294,Does not apply,0
E01001294,No cars or vans in household,117
E01001294,1 or more cars or vans in household,453
E01001295,Does not apply,0
E01001295,No cars or vans in household,98
E01001295,1 or more cars or vans in household,428
E01001296,Does not apply,0
E01001296,No cars or vans in household,97
E01001296,1 or more cars or vans in household,321
E01001297,Does not apply,0
E01001297,No cars or vans in household,154
E01001297,1 or more cars or vans in household,360
E01001298,Does not apply,0
E01001298,No cars or vans in household,168
E01001298,1 or more cars or vans in household,417
E01001299,Does not apply,0
E01001299,No cars or vans in household,125
E01001299,1 or more cars or vans in household,519
E01001300,Does not apply,0
E01001300,No cars or vans in household,170
E01001300,1 or more cars or vans in household,428
E01001301,Does not apply,0
E01001301,No cars or vans in household,377
E01001301,1 or more cars or vans in household,432
E01001302,Does not apply,0
E01001302,No cars or vans in household,195
E01001302,1 or more cars or vans in household,423
E01001303,Does not apply,0
E01001303,No cars or vans in household,203
E01001303,1 or more cars or vans in household,446
E01001304,Does not apply,0
E01001304,No cars or vans in household,252
E01001304,1 or more cars or vans in household,446
E01001305,Does not apply,0
E01001305,No cars or vans in household,125
E01001305,1 or more cars or vans in household,508
E01001306,Does not apply,0
E01001306,No cars or vans in household,215
E01001306,1 or more cars or vans in household,482
E01001307,Does not apply,0
E01001307,No cars or vans in household,123
E01001307,1 or more cars or vans in household,484
E01001308,Does not apply,0
E01001308,No cars or vans in household,153
E01001308,1 or more cars or vans in household,534
E01001309,Does not apply,0
E01001309,No cars or vans in household,107
E01001309,1 or more cars or vans in household,492
E01001310,Does not apply,0
E01001310,No cars or vans in household,182
E01001310,1 or more cars or vans in household,575
E01001311,Does not apply,0
E01001311,No cars or vans in household,367
E01001311,1 or more cars or vans in household,587
E01001312,Does not apply,0
E01001312,No cars or vans in household,139
E01001312,1 or more cars or vans in household,468
E01001313,Does not apply,0
E01001313,No cars or vans in household,110
E01001313,1 or more cars or vans in household,409
E01001314,Does not apply,0
E01001314,No cars or vans in household,96
E01001314,1 or more cars or vans in household,415
E01001315,Does not apply,0
E01001315,No cars or vans in household,108
E01001315,1 or more cars or vans in household,392
E01001316,Does not apply,0
E01001316,No cars or vans in household,234
E01001316,1 or more cars or vans in household,379
E01001317,Does not apply,0
E01001317,No cars or vans in household,189
E01001317,1 or more cars or vans in household,538
E01001318,Does not apply,0
E01001318,No cars or vans in household,276
E01001318,1 or more cars or vans in household,441
E01001319,Does not apply,0
E01001319,No cars or vans in household,94
E01001319,1 or more cars or vans in household,413
E01001320,Does not apply,0
E01001320,No cars or vans in household,190
E01001320,1 or more cars or vans in household,357
E01001321,Does not apply,0
E01001321,No cars or vans in household,199
E01001321,1 or more cars or vans in household,594
E01001322,Does not apply,0
E01001322,No cars or vans in household,207
E01001322,1 or more cars or vans in household,524
E01001323,Does not apply,0
E01001323,No cars or vans in household,253
E01001323,1 or more cars or vans in household,521
E01001324,Does not apply,0
E01001324,No cars or vans in household,230
E01001324,1 or more cars or vans in household,414
E01001325,Does not apply,0
E01001325,No cars or vans in household,117
E01001325,1 or more cars or vans in household,503
E01001326,Does not apply,0
E01001326,No cars or vans in household,221
E01001326,1 or more cars or vans in household,455
E01001327,Does not apply,0
E01001327,No cars or vans in household,156
E01001327,1 or more cars or vans in household,435
E01001328,Does not apply,0
E01001328,No cars or vans in household,181
E01001328,1 or more cars or vans in household,412
E01001329,Does not apply,0
E01001329,No cars or vans in household,132
E01001329,1 or more cars or vans in household,507
E01001330,Does not apply,0
E01001330,No cars or vans in household,228
E01001330,1 or more cars or vans in household,416
E01001331,Does not apply,0
E01001331,No cars or vans in household,258
E01001331,1 or more cars or vans in household,371
E01001332,Does not apply,0
E01001332,No cars or vans in household,220
E01001332,1 or more cars or vans in household,361
E01001333,Does not apply,0
E01001333,No cars or vans in household,352
E01001333,1 or more cars or vans in household,360
E01001334,Does not apply,0
E01001334,No cars or vans in household,205
E01001334,1 or more cars or vans in household,313
E01001335,Does not apply,0
E01001335,No cars or vans in household,85
E01001335,1 or more cars or vans in household,431
E01001336,Does not apply,0
E01001336,No cars or vans in household,157
E01001336,1 or more cars or vans in household,408
E01001337,Does not apply,0
E01001337,No cars or vans in household,280
E01001337,1 or more cars or vans in household,484
E01001338,Does not apply,0
E01001338,No cars or vans in household,170
E01001338,1 or more cars or vans in household,364
E01001339,Does not apply,0
E01001339,No cars or vans in household,182
E01001339,1 or more cars or vans in household,518
E01001340,Does not apply,0
E01001340,No cars or vans in household,187
E01001340,1 or more cars or vans in household,359
E01001341,Does not apply,0
E01001341,No cars or vans in household,148
E01001341,1 or more cars or vans in household,440
E01001342,Does not apply,0
E01001342,No cars or vans in household,166
E01001342,1 or more cars or vans in household,475
E01001343,Does not apply,0
E01001343,No cars or vans in household,104
E01001343,1 or more cars or vans in household,374
E01001344,Does not apply,0
E01001344,No cars or vans in household,282
E01001344,1 or more cars or vans in household,619
E01001345,Does not apply,0
E01001345,No cars or vans in household,105
E01001345,1 or more cars or vans in household,419
E01001346,Does not apply,0
E01001346,No cars or vans in household,180
E01001346,1 or more cars or vans in household,500
E01001347,Does not apply,0
E01001347,No cars or vans in household,197
E01001347,1 or more cars or vans in household,489
E01001348,Does not apply,0
E01001348,No cars or vans in household,236
E01001348,1 or more cars or vans in household,433
