Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01000920,Economically inactive,542
E01000921,Does not apply,246
E01000921,Economically active: In employment (including full-time students),1180
E01000921,Economically active: Unemployed (including full-time students),69
E01000921,Economically inactive,380
E01000922,Does not apply,260
E01000922,Economically active: In employment (including full-time students),860
E01000922,Economically active: Unemployed (including full-time students),81
E01000922,Economically inactive,719
E01000923,Does not apply,198
E01000923,Economically active: In employment (including full-time students),795
E01000923,Economically active: Unemployed (including full-time students),56
E01000923,Economically inactive,398
E01000924,Does not apply,199
E01000924,Economically active: In employment (including full-time students),911
E01000924,Economically active: Unemployed (including full-time students),56
E01000924,Economically inactive,402
E01000925,Does not apply,321
E01000925,Economically active: In employment (including full-time students),594
E01000925,Economically active: Unemployed (including full-time students),86
E01000925,Economically inactive,494
E01000926,Does not apply,239
E01000926,Economically active: In employment (including full-time students),763
E01000926,Economically active: Unemployed (including full-time students),66
E01000926,Economically inactive,403
E01000927,Does not apply,210
E01000927,Economically active: In employment (including full-time students),831
E01000927,Economically active: Unemployed (including full-time students),62
E01000927,Economically inactive,433
E01000928,Does not apply,277
E01000928,Economically active: In employment (including full-time students),937
E01000928,Economically active: Unemployed (including full-time students),58
E01000928,Economically inactive,441
E01000929,Does not apply,418
E01000929,Economically active: In employment (including full-time students),741
E01000929,Economically active: Unemployed (including full-time students),92
E01000929,Economically inactive,662
E01000930,Does not apply,357
E01000930,Economically active: In employment (including full-time students),862
E01000930,Economically active: Unemployed (including full-time students),99
E01000930,Economically inactive,768
E01000931,Does not apply,384
E01000931,Economically active: In employment (including full-time students),952
E01000931,Economically active: Unemployed (including full-time students),107
E01000931,Economically inactive,616
E01000932,Does not apply,184
E01000932,Economically active: In employment (including full-time students),1084
E01000932,Economically active: Unemployed (including full-time students),58
E01000932,Economically inactive,434
E01000933,Does not apply,258
E01000933,Economically active: In employment (including full-time students),948
E01000933,Economically active: Unemployed (including full-time students),93
E01000933,Economically inactive,473
E01000934,Does not apply,253
E01000934,Economically active: In employment (including full-time students),646
E01000934,Economically active: Unemployed (including full-time students),87
E01000934,Economically inactive,525
E01000935,Does not apply,331
E01000935,Economically active: In employment (including full-time students),707
E01000935,Economically active: Unemployed (including full-time students),70
E01000935,Economically inactive,489
E01000937,Does not apply,76
E01000937,Economically active: In employment (including full-time students),365
E01000937,Economically active: Unemployed (including full-time students),75
E01000937,Economically inactive,603
E01000938,Does not apply,174
E01000938,Economically active: In employment (including full-time students),606
E01000938,Economically active: Unemployed (including full-time students),104
E01000938,Economically inactive,482
E01000939,Does not apply,217
E01000939,Economically active: In employment (including full-time students),506
E01000939,Economically active: Unemployed (including full-time students),75
E01000939,Economically inactive,649
E01000941,Does not apply,211
E01000941,Economically active: In employment (including full-time students),445
E01000941,Economically active: Unemployed (including full-time students),65
E01000941,Economically inactive,474
E01000942,Does not apply,61
E01000942,Economically active: In employment (including full-time students),436
E01000942,Economically active: Unemployed (including full-time students),51
E01000942,Economically inactive,465
E01000943,Does not apply,46
E01000943,Economically active: In employment (including full-time students),450
E01000943,Economically active: Unemployed (including full-time students),115
E01000943,Economically inactive,974
E01000944,Does not apply,232
E01000944,Economically active: In employment (including full-time students),543
E01000944,Economically active: Unemployed (including full-time students),93
E01000944,Economically inactive,596
E01000946,Does not apply,249
E01000946,Economically active: In employment (including full-time students),764
E01000946,Economically active: Unemployed (including full-time students),62
E01000946,Economically inactive,476
E01000947,Does not apply,167
E01000947,Economically active: In employment (including full-time students),834
E01000947,Economically active: Unemployed (including full-time students),105
E01000947,Economically inactive,559
E01000948,Does not apply,224
E01000948,Economically active: In employment (including full-time students),755
E01000948,Economically active: Unemployed (including full-time students),53
E01000948,Economically inactive,497
E01000949,Does not apply,288
E01000949,Economically active: In employment (including full-time students),760
E01000949,Economically active: Unemployed (including full-time students),78
E01000949,Economically inactive,474
E01000951,Does not apply,337
E01000951,Economically active: In employment (including full-time students),542
E01000951,Economically active: Unemployed (including full-time students),90
E01000951,Economically inactive,570
E01000952,Does not apply,278
E01000952,Economically active: In employment (including full-time students),673
E01000952,Economically active: Unemployed (including full-time students),110
E01000952,Economically inactive,630
E01000954,Does not apply,440
E01000954,Economically active: In employment (including full-time students),550
E01000954,Economically active: Unemployed (including full-time students),104
E01000954,Economically inactive,657
E01000955,Does not apply,258
E01000955,Economically active: In employment (including full-time students),475
E01000955,Economically active: Unemployed (including full-time students),65
E01000955,Economically inactive,549
E01000956,Does not apply,273
E01000956,Economically active: In employment (including full-time students),572
E01000956,Economically active: Unemployed (including full-time students),101
E01000956,Economically inactive,559
E01000957,Does not apply,161
E01000957,Economically active: In employment (including full-time students),711
E01000957,Economically active: Unemployed (including full-time students),85
E01000957,Economically inactive,365
E01000958,Does not apply,398
E01000958,Economically active: In employment (including full-time students),1104
E01000958,Economically active: Unemployed (including full-time students),163
E01000958,Economically inactive,1275
E01000959,Does not apply,259
E01000959,Economically active: In employment (including full-time students),620
E01000959,Economically active: Unemployed (including full-time students),103
E01000959,Economically inactive,709
E01000960,Does not apply,304
E01000960,Economically active: In employment (including full-time students),1032
E01000960,Economically active: Unemployed (including full-time students),60
E01000960,Economically inactive,471
E01000961,Does not apply,355
E01000961,Economically active: In employment (including full-time students),794
E01000961,Economically active: Unemployed (including full-time students),80
E01000961,Economically inactive,562
E01000962,Does not apply,200
E01000962,Economically active: In employment (including full-time students),1009
E01000962,Economically active: Unemployed (including full-time students),37
E01000962,Economically inactive,297
E01000963,Does not apply,371
E01000963,Economically active: In employment (including full-time students),858
E01000963,Economically active: Unemployed (including full-time students),71
E01000963,Economically inactive,620
E01000964,Does not apply,277
E01000964,Economically active: In employment (including full-time students),926
E01000964,Economically active: Unemployed (including full-time students),73
E01000964,Economically inactive,454
E01000965,Does not apply,295
E01000965,Economically active: In employment (including full-time students),977
E01000965,Economically active: Unemployed (including full-time students),68
E01000965,Economically inactive,380
E01000966,Does not apply,281
E01000966,Economically active: In employment (including full-time students),998
E01000966,Economically active: Unemployed (including full-time students),39
E01000966,Economically inactive,297
E01000967,Does not apply,302
E01000967,Economically active: In employment (including full-time students),708
E01000967,Economically active: Unemployed (including full-time students),35
E01000967,Economically inactive,494
E01000968,Does not apply,181
E01000968,Economically active: In employment (including full-time students),931
E01000968,Economically active: Unemployed (including full-time students),47
E01000968,Economically inactive,310
E01000969,Does not apply,217
E01000969,Economically active: In employment (including full-time students),1180
E01000969,Economically active: Unemployed (including full-time students),59
E01000969,Economically inactive,374
E01000970,Does not apply,140
E01000970,Economically active: In employment (including full-time students),973
E01000970,Economically active: Unemployed (including full-time students),51
E01000970,Economically inactive,244
E01000971,Does not apply,242
E01000971,Economically active: In employment (including full-time students),746
E01000971,Economically active: Unemployed (including full-time students),36
E01000971,Economically inactive,299
E01000972,Does not apply,265
E01000972,Economically active: In employment (including full-time students),968
E01000972,Economically active: Unemployed (including full-time students),86
E01000972,Economically inactive,640
E01000973,Does not apply,338
E01000973,Economically active: In employment (including full-time students),1460
E01000973,Economically active: Unemployed (including full-time students),133
E01000973,Economically inactive,631
E01000974,Does not apply,203
E01000974,Economically active: In employment (including full-time students),851
E01000974,Economically active: Unemployed (including full-time students),69
E01000974,Economically inactive,464
E01000975,Does not apply,423
E01000975,Economically active: In employment (including full-time students),1363
E01000975,Economically active: Unemployed (including full-time students),88
E01000975,Economically inactive,471
E01000976,Does not apply,442
E01000976,Economically active: In employment (including full-time students),1128
E01000976,Economically active: Unemployed (including full-time students),85
E01000976,Economically inactive,488
E01000977,Does not apply,330
E01000977,Economically active: In employment (including full-time students),929
E01000977,Economically active: Unemployed (including full-time students),80
E01000977,Economically inactive,604
E01000978,Does not apply,295
E01000978,Economically active: In employment (including full-time students),937
E01000978,Economically active: Unemployed (including full-time students),75
E01000978,Economically inactive,424
E01000979,Does not apply,305
E01000979,Economically active: In employment (including full-time students),1019
E01000979,Economically active: Unemployed (including full-time students),58
E01000979,Economically inactive,374
E01000980,Does not apply,330
E01000980,Economically active: In employment (including full-time students),712
E01000980,Economically active: Unemployed (including full-time students),67
E01000980,Economically inactive,386
E01000981,Does not apply,366
E01000981,Economically active: In employment (including full-time students),925
E01000981,Economically active: Unemployed (including full-time students),58
E01000981,Economically inactive,381
E01000982,Does not apply,380
E01000982,Economically active: In employment (including full-time students),899
E01000982,Economically active: Unemployed (including full-time students),58
E01000982,Economically inactive,347
E01000983,Does not apply,296
E01000983,Economically active: In employment (including full-time students),1059
E01000983,Economically active: Unemployed (including full-time students),53
E01000983,Economically inactive,411
E01000984,Does not apply,410
E01000984,Economically active: In employment (including full-time students),884
E01000984,Economically active: Unemployed (including full-time students),68
E01000984,Economically inactive,543
E01000985,Does not apply,247
E01000985,Economically active: In employment (including full-time students),691
E01000985,Economically active: Unemployed (including full-time students),37
E01000985,Economically inactive,479
E01000986,Does not apply,317
E01000986,Economically active: In employment (including full-time students),854
E01000986,Economically active: Unemployed (including full-time students),67
E01000986,Economically inactive,534
E01000987,Does not apply,219
E01000987,Economically active: In employment (including full-time students),731
E01000987,Economically active: Unemployed (including full-time students),37
E01000987,Economically inactive,370
E01000989,Does not apply,318
E01000989,Economically active: In employment (including full-time students),898
E01000989,Economically active: Unemployed (including full-time students),51
E01000989,Economically inactive,467
E01000990,Does not apply,283
E01000990,Economically active: In employment (including full-time students),577
E01000990,Economically active: Unemployed (including full-time students),77
E01000990,Economically inactive,499
E01000991,Does not apply,240
E01000991,Economically active: In employment (including full-time students),826
E01000991,Economically active: Unemployed (including full-time students),39
E01000991,Economically inactive,632
E01000992,Does not apply,364
E01000992,Economically active: In employment (including full-time students),903
E01000992,Economically active: Unemployed (including full-time students),86
E01000992,Economically inactive,523
E01000993,Does not apply,366
E01000993,Economically active: In employment (including full-time students),819
E01000993,Economically active: Unemployed (including full-time students),59
E01000993,Economically inactive,408
E01000994,Does not apply,318
E01000994,Economically active: In employment (including full-time students),758
E01000994,Economically active: Unemployed (including full-time students),62
E01000994,Economically inactive,453
E01000995,Does not apply,392
E01000995,Economically active: In employment (including full-time students),788
E01000995,Economically active: Unemployed (including full-time students),74
E01000995,Economically inactive,460
E01000996,Does not apply,226
E01000996,Economically active: In employment (including full-time students),638
E01000996,Economically active: Unemployed (including full-time students),63
E01000996,Economically inactive,401
E01000997,Does not apply,276
E01000997,Economically active: In employment (including full-time students),654
E01000997,Economically active: Unemployed (including full-time students),73
E01000997,Economically inactive,496
E01000998,Does not apply,308
E01000998,Economically active: In employment (including full-time students),716
E01000998,Economically active: Unemployed (including full-time students),53
E01000998,Economically inactive,417
E01000999,Does not apply,253
E01000999,Economically active: In employment (including full-time students),599
E01000999,Economically active: Unemployed (including full-time students),36
E01000999,Economically inactive,436
E01001000,Does not apply,266
E01001000,Economically active: In employment (including full-time students),654
E01001000,Economically active: Unemployed (including full-time students),53
E01001000,Economically inactive,364
E01001001,Does not apply,308
E01001001,Economically active: In employment (including full-time students),655
E01001001,Economically active: Unemployed (including full-time students),61
E01001001,Economically inactive,386
E01001002,Does not apply,318
E01001002,Economically active: In employment (including full-time students),683
E01001002,Economically active: Unemployed (including full-time students),75
E01001002,Economically inactive,396
E01001003,Does not apply,369
E01001003,Economically active: In employment (including full-time students),756
E01001003,Economically active: Unemployed (including full-time students),55
E01001003,Economically inactive,408
E01001004,Does not apply,496
E01001004,Economically active: In employment (including full-time students),1052
E01001004,Economically active: Unemployed (including full-time students),96
E01001004,Economically inactive,536
E01001005,Does not apply,387
E01001005,Economically active: In employment (including full-time students),829
E01001005,Economically active: Unemployed (including full-time students),70
E01001005,Economically inactive,446
E01001006,Does not apply,452
E01001006,Economically active: In employment (including full-time students),852
E01001006,Economically active: Unemployed (including full-time students),68
E01001006,Economically inactive,417
E01001007,Does not apply,425
E01001007,Economically active: In employment (including full-time students),942
E01001007,Economically active: Unemployed (including full-time students),55
E01001007,Economically inactive,560
E01001008,Does not apply,408
E01001008,Economically active: In employment (including full-time students),700
E01001008,Economically active: Unemployed (including full-time students),73
E01001008,Economically inactive,488
E01001009,Does not apply,519
E01001009,Economically active: In employment (including full-time students),961
E01001009,Economically active: Unemployed (including full-time students),83
E01001009,Economically inactive,485
E01001010,Does not apply,372
E01001010,Economically active: In employment (including full-time students),748
E01001010,Economically active: Unemployed (including full-time students),79
E01001010,Economically inactive,501
E01001011,Does not apply,572
E01001011,Economically active: In employment (including full-time students),986
E01001011,Economically active: Unemployed (including full-time students),145
E01001011,Economically inactive,605
E01001012,Does not apply,477
E01001012,Economically active: In employment (including full-time students),966
E01001012,Economically active: Unemployed (including full-time students),96
E01001012,Economically inactive,558
E01001013,Does not apply,564
E01001013,Economically active: In employment (including full-time students),784
E01001013,Economically active: Unemployed (including full-time students),144
E01001013,Economically inactive,703
E01001015,Does not apply,345
E01001015,Economically active: In employment (including full-time students),656
E01001015,Economically active: Unemployed (including full-time students),47
E01001015,Economically inactive,445
E01001016,Does not apply,352
E01001016,Economically active: In employment (including full-time students),815
E01001016,Economically active: Unemployed (including full-time students),58
E01001016,Economically inactive,535
E01001017,Does not apply,307
E01001017,Economically active: In employment (including full-time students),832
E01001017,Economically active: Unemployed (including full-time students),33
E01001017,Economically inactive,477
E01001018,Does not apply,320
E01001018,Economically active: In employment (including full-time students),824
E01001018,Economically active: Unemployed (including full-time students),43
E01001018,Economically inactive,463
E01001019,Does not apply,248
E01001019,Economically active: In employment (including full-time students),676
E01001019,Economically active: Unemployed (including full-time students),33
E01001019,Economically inactive,503
E01001020,Does not apply,367
E01001020,Economically active: In employment (including full-time students),778
E01001020,Economically active: Unemployed (including full-time students),33
E01001020,Economically inactive,475
E01001021,Does not apply,313
E01001021,Economically active: In employment (including full-time students),551
E01001021,Economically active: Unemployed (including full-time students),50
E01001021,Economically inactive,445
E01001022,Does not apply,229
E01001022,Economically active: In employment (including full-time students),681
E01001022,Economically active: Unemployed (including full-time students),37
E01001022,Economically inactive,535
E01001023,Does not apply,605
E01001023,Economically active: In employment (including full-time students),1350
E01001023,Economically active: Unemployed (including full-time students),74
E01001023,Economically inactive,567
E01001024,Does not apply,255
E01001024,Economically active: In employment (including full-time students),669
E01001024,Economically active: Unemployed (including full-time students),34
E01001024,Economically inactive,381
E01001025,Does not apply,285
E01001025,Economically active: In employment (including full-time students),703
E01001025,Economically active: Unemployed (including full-time students),34
E01001025,Economically inactive,327
E01001026,Does not apply,460
E01001026,Economically active: In employment (including full-time students),921
E01001026,Economically active: Unemployed (including full-time students),61
E01001026,Economically inactive,443
E01001027,Does not apply,755
E01001027,Economically active: In employment (including full-time students),1541
E01001027,Economically active: Unemployed (including full-time students),54
E01001027,Economically inactive,560
E01001028,Does not apply,282
E01001028,Economically active: In employment (including full-time students),785
E01001028,Economically active: Unemployed (including full-time students),24
E01001028,Economically inactive,565
E01001029,Does not apply,296
E01001029,Economically active: In employment (including full-time students),793
E01001029,Economically active: Unemployed (including full-time students),55
E01001029,Economically inactive,576
E01001030,Does not apply,275
E01001030,Economically active: In employment (including full-time students),732
E01001030,Economically active: Unemployed (including full-time students),35
E01001030,Economically inactive,411
E01001031,Does not apply,258
E01001031,Economically active: In employment (including full-time students),760
E01001031,Economically active: Unemployed (including full-time students),32
E01001031,Economically inactive,406
E01001032,Does not apply,323
E01001032,Economically active: In employment (including full-time students),723
E01001032,Economically active: Unemployed (including full-time students),18
E01001032,Economically inactive,492
E01001033,Does not apply,317
E01001033,Economically active: In employment (including full-time students),951
E01001033,Economically active: Unemployed (including full-time students),42
E01001033,Economically inactive,358
E01001034,Does not apply,315
E01001034,Economically active: In employment (including full-time students),908
E01001034,Economically active: Unemployed (including full-time students),53
E01001034,Economically inactive,336
E01001035,Does not apply,334
E01001035,Economically active: In employment (including full-time students),1021
E01001035,Economically active: Unemployed (including full-time students),69
E01001035,Economically inactive,436
E01001036,Does not apply,248
E01001036,Economically active: In employment (including full-time students),777
E01001036,Economically active: Unemployed (including full-time students),44
E01001036,Economically inactive,552
E01001037,Does not apply,339
E01001037,Economically active: In employment (including full-time students),850
E01001037,Economically active: Unemployed (including full-time students),61
E01001037,Economically inactive,284
E01001038,Does not apply,345
E01001038,Economically active: In employment (including full-time students),1115
E01001038,Economically active: Unemployed (including full-time students),65
E01001038,Economically inactive,378
E01001039,Does not apply,333
E01001039,Economically active: In employment (including full-time students),797
E01001039,Economically active: Unemployed (including full-time students),34
E01001039,Economically inactive,405
E01001040,Does not apply,355
E01001040,Economically active: In employment (including full-time students),955
E01001040,Economically active: Unemployed (including full-time students),69
E01001040,Economically inactive,342
E01001041,Does not apply,372
E01001041,Economically active: In employment (including full-time students),910
E01001041,Economically active: Unemployed (including full-time students),69
E01001041,Economically inactive,378
E01001042,Does not apply,446
E01001042,Economically active: In employment (including full-time students),1156
E01001042,Economically active: Unemployed (including full-time students),117
E01001042,Economically inactive,453
E01001044,Does not apply,412
E01001044,Economically active: In employment (including full-time students),982
E01001044,Economically active: Unemployed (including full-time students),66
E01001044,Economically inactive,621
E01001046,Does not apply,447
E01001046,Economically active: In employment (including full-time students),968
E01001046,Economically active: Unemployed (including full-time students),73
E01001046,Economically inactive,437
E01001047,Does not apply,320
E01001047,Economically active: In employment (including full-time students),964
E01001047,Economically active: Unemployed (including full-time students),75
E01001047,Economically inactive,375
E01001049,Does not apply,237
E01001049,Economically active: In employment (including full-time students),710
E01001049,Economically active: Unemployed (including full-time students),30
E01001049,Economically inactive,464
E01001050,Does not apply,318
E01001050,Economically active: In employment (including full-time students),805
E01001050,Economically active: Unemployed (including full-time students),74
E01001050,Economically inactive,518
E01001051,Does not apply,451
E01001051,Economically active: In employment (including full-time students),605
E01001051,Economically active: Unemployed (including full-time students),73
E01001051,Economically inactive,476
E01001052,Does not apply,372
E01001052,Economically active: In employment (including full-time students),545
E01001052,Economically active: Unemployed (including full-time students),85
E01001052,Economically inactive,464
E01001053,Does not apply,370
E01001053,Economically active: In employment (including full-time students),700
E01001053,Economically active: Unemployed (including full-time students),71
E01001053,Economically inactive,461
E01001054,Does not apply,492
E01001054,Economically active: In employment (including full-time students),747
E01001054,Economically active: Unemployed (including full-time students),85
E01001054,Economically inactive,537
E01001055,Does not apply,352
E01001055,Economically active: In employment (including full-time students),661
E01001055,Economically active: Unemployed (including full-time students),61
E01001055,Economically inactive,494
E01001056,Does not apply,591
E01001056,Economically active: In employment (including full-time students),674
E01001056,Economically active: Unemployed (including full-time students),78
E01001056,Economically inactive,467
E01001057,Does not apply,612
E01001057,Economically active: In employment (including full-time students),630
E01001057,Economically active: Unemployed (including full-time students),92
E01001057,Economically inactive,457
E01001058,Does not apply,285
E01001058,Economically active: In employment (including full-time students),687
E01001058,Economically active: Unemployed (including full-time students),43
E01001058,Economically inactive,340
E01001059,Does not apply,318
E01001059,Economically active: In employment (including full-time students),714
E01001059,Economically active: Unemployed (including full-time students),35
E01001059,Economically inactive,385
E01001060,Does not apply,370
E01001060,Economically active: In employment (including full-time students),798
E01001060,Economically active: Unemployed (including full-time students),39
E01001060,Economically inactive,410
E01001061,Does not apply,301
E01001061,Economically active: In employment (including full-time students),849
E01001061,Economically active: Unemployed (including full-time students),59
E01001061,Economically inactive,412
E01001062,Does not apply,205
E01001062,Economically active: In employment (including full-time students),662
E01001062,Economically active: Unemployed (including full-time students),36
E01001062,Economically inactive,605
E01001063,Does not apply,275
E01001063,Economically active: In employment (including full-time students),799
E01001063,Economically active: Unemployed (including full-time students),36
E01001063,Economically inactive,425
E01001064,Does not apply,243
E01001064,Economically active: In employment (including full-time students),781
E01001064,Economically active: Unemployed (including full-time students),44
E01001064,Economically inactive,536
E01001065,Does not apply,193
E01001065,Economically active: In employment (including full-time students),697
E01001065,Economically active: Unemployed (including full-time students),38
E01001065,Economically inactive,394
E01001066,Does not apply,337
E01001066,Economically active: In employment (including full-time students),594
E01001066,Economically active: Unemployed (including full-time students),70
E01001066,Economically inactive,452
E01001067,Does not apply,313
E01001067,Economically active: In employment (including full-time students),787
E01001067,Economically active: Unemployed (including full-time students),37
E01001067,Economically inactive,517
E01001068,Does not apply,368
E01001068,Economically active: In employment (including full-time students),940
E01001068,Economically active: Unemployed (including full-time students),41
E01001068,Economically inactive,487
E01001069,Does not apply,267
E01001069,Economically active: In employment (including full-time students),718
E01001069,Economically active: Unemployed (including full-time students),21
E01001069,Economically inactive,363
E01001070,Does not apply,385
E01001070,Economically active: In employment (including full-time students),802
E01001070,Economically active: Unemployed (including full-time students),57
E01001070,Economically inactive,541
E01001071,Does not apply,382
E01001071,Economically active: In employment (including full-time students),1016
E01001071,Economically active: Unemployed (including full-time students),40
E01001071,Economically inactive,459
E01001072,Does not apply,230
E01001072,Economically active: In employment (including full-time students),670
E01001072,Economically active: Unemployed (including full-time students),26
E01001072,Economically inactive,558
E01001073,Does not apply,277
E01001073,Economically active: In employment (including full-time students),715
E01001073,Economically active: Unemployed (including full-time students),48
E01001073,Economically inactive,400
E01001074,Does not apply,415
E01001074,Economically active: In employment (including full-time students),957
E01001074,Economically active: Unemployed (including full-time students),67
E01001074,Economically inactive,509
E01001075,Does not apply,346
E01001075,Economically active: In employment (including full-time students),880
E01001075,Economically active: Unemployed (including full-time students),41
E01001075,Economically inactive,362
E01001076,Does not apply,458
E01001076,Economically active: In employment (including full-time students),672
E01001076,Economically active: Unemployed (including full-time students),49
E01001076,Economically inactive,488
E01001077,Does not apply,250
E01001077,Economically active: In employment (including full-time students),658
E01001077,Economically active: Unemployed (including full-time students),36
E01001077,Economically inactive,388
E01001078,Does not apply,347
E01001078,Economically active: In employment (including full-time students),632
E01001078,Economically active: Unemployed (including full-time students),54
E01001078,Economically inactive,415
E01001079,Does not apply,352
E01001079,Economically active: In employment (including full-time students),718
E01001079,Economically active: Unemployed (including full-time students),58
E01001079,Economically inactive,486
E01001080,Does not apply,334
E01001080,Economically active: In employment (including full-time students),518
E01001080,Economically active: Unemployed (including full-time students),63
E01001080,Economically inactive,566
E01001081,Does not apply,363
E01001081,Economically active: In employment (including full-time students),633
E01001081,Economically active: Unemployed (including full-time students),46
E01001081,Economically inactive,431
E01001082,Does not apply,353
E01001082,Economically active: In employment (including full-time students),735
E01001082,Economically active: Unemployed (including full-time students),56
E01001082,Economically inactive,407
E01001083,Does not apply,266
E01001083,Economically active: In employment (including full-time students),752
E01001083,Economically active: Unemployed (including full-time students),49
E01001083,Economically inactive,548
E01001084,Does not apply,314
E01001084,Economically active: In employment (including full-time students),908
E01001084,Economically active: Unemployed (including full-time students),83
E01001084,Economically inactive,628
E01001085,Does not apply,302
E01001085,Economically active: In employment (including full-time students),871
E01001085,Economically active: Unemployed (including full-time students),82
E01001085,Economically inactive,454
E01001086,Does not apply,266
E01001086,Economically active: In employment (including full-time students),865
E01001086,Economically active: Unemployed (including full-time students),61
E01001086,Economically inactive,539
E01001087,Does not apply,584
E01001087,Economically active: In employment (including full-time students),1364
E01001087,Economically active: Unemployed (including full-time students),110
E01001087,Economically inactive,771
E01001088,Does not apply,314
E01001088,Economically active: In employment (including full-time students),835
E01001088,Economically active: Unemployed (including full-time students),68
E01001088,Economically inactive,463
E01001089,Does not apply,351
E01001089,Economically active: In employment (including full-time students),851
E01001089,Economically active: Unemployed (including full-time students),88
E01001089,Economically inactive,496
E01001090,Does not apply,488
E01001090,Economically active: In employment (including full-time students),1136
E01001090,Economically active: Unemployed (including full-time students),91
E01001090,Economically inactive,561
E01001091,Does not apply,256
E01001091,Economically active: In employment (including full-time students),765
E01001091,Economically active: Unemployed (including full-time students),49
E01001091,Economically inactive,507
E01001092,Does not apply,317
E01001092,Economically active: In employment (including full-time students),842
E01001092,Economically active: Unemployed (including full-time students),36
E01001092,Economically inactive,738
E01001093,Does not apply,353
E01001093,Economically active: In employment (including full-time students),909
E01001093,Economically active: Unemployed (including full-time students),53
E01001093,Economically inactive,480
E01001094,Does not apply,276
E01001094,Economically active: In employment (including full-time students),785
E01001094,Economically active: Unemployed (including full-time students),35
E01001094,Economically inactive,548
E01001095,Does not apply,372
E01001095,Economically active: In employment (including full-time students),767
E01001095,Economically active: Unemployed (including full-time students),62
E01001095,Economically inactive,330
E01001096,Does not apply,276
E01001096,Economically active: In employment (including full-time students),709
E01001096,Economically active: Unemployed (including full-time students),51
E01001096,Economically inactive,442
E01001097,Does not apply,428
E01001097,Economically active: In employment (including full-time students),1178
E01001097,Economically active: Unemployed (including full-time students),87
E01001097,Economically inactive,694
E01001098,Does not apply,277
E01001098,Economically active: In employment (including full-time students),730
E01001098,Economically active: Unemployed (including full-time students),31
E01001098,Economically inactive,432
E01001099,Does not apply,367
E01001099,Economically active: In employment (including full-time students),775
E01001099,Economically active: Unemployed (including full-time students),40
E01001099,Economically inactive,398
E01001100,Does not apply,273
E01001100,Economically active: In employment (including full-time students),819
E01001100,Economically active: Unemployed (including full-time students),46
E01001100,Economically inactive,374
E01001101,Does not apply,284
E01001101,Economically active: In employment (including full-time students),724
E01001101,Economically active: Unemployed (including full-time students),26
E01001101,Economically inactive,397
E01001102,Does not apply,288
E01001102,Economically active: In employment (including full-time students),628
E01001102,Economically active: Unemployed (including full-time students),32
E01001102,Economically inactive,568
E01001103,Does not apply,290
E01001103,Economically active: In employment (including full-time students),699
E01001103,Economically active: Unemployed (including full-time students),26
E01001103,Economically inactive,616
E01001104,Does not apply,304
E01001104,Economically active: In employment (including full-time students),826
E01001104,Economically active: Unemployed (including full-time students),45
E01001104,Economically inactive,500
E01001105,Does not apply,359
E01001105,Economically active: In employment (including full-time students),859
E01001105,Economically active: Unemployed (including full-time students),63
E01001105,Economically inactive,456
E01001106,Does not apply,283
E01001106,Economically active: In employment (including full-time students),748
E01001106,Economically active: Unemployed (including full-time students),29
E01001106,Economically inactive,443
E01001107,Does not apply,300
E01001107,Economically active: In employment (including full-time students),741
E01001107,Economically active: Unemployed (including full-time students),42
E01001107,Economically inactive,583
E01001108,Does not apply,365
E01001108,Economically active: In employment (including full-time students),841
E01001108,Economically active: Unemployed (including full-time students),31
E01001108,Economically inactive,550
E01001109,Does not apply,548
E01001109,Economically active: In employment (including full-time students),1047
E01001109,Economically active: Unemployed (including full-time students),133
E01001109,Economically inactive,622
E01001110,Does not apply,520
E01001110,Economically active: In employment (including full-time students),1001
E01001110,Economically active: Unemployed (including full-time students),98
E01001110,Economically inactive,528
E01001111,Does not apply,360
E01001111,Economically active: In employment (including full-time students),914
E01001111,Economically active: Unemployed (including full-time students),57
E01001111,Economically inactive,421
E01001112,Does not apply,463
E01001112,Economically active: In employment (including full-time students),972
E01001112,Economically active: Unemployed (including full-time students),89
E01001112,Economically inactive,493
E01001113,Does not apply,425
E01001113,Economically active: In employment (including full-time students),1050
E01001113,Economically active: Unemployed (including full-time students),109
E01001113,Economically inactive,422
E01001114,Does not apply,379
E01001114,Economically active: In employment (including full-time students),691
E01001114,Economically active: Unemployed (including full-time students),75
E01001114,Economically inactive,364
E01001115,Does not apply,454
E01001115,Economically active: In employment (including full-time students),723
E01001115,Economically active: Unemployed (including full-time students),61
E01001115,Economically inactive,584
E01001116,Does not apply,349
E01001116,Economically active: In employment (including full-time students),693
E01001116,Economically active: Unemployed (including full-time students),82
E01001116,Economically inactive,401
E01001118,Does not apply,493
E01001118,Economically active: In employment (including full-time students),909
E01001118,Economically active: Unemployed (including full-time students),115
E01001118,Economically inactive,635
E01001119,Does not apply,259
E01001119,Economically active: In employment (including full-time students),677
E01001119,Economically active: Unemployed (including full-time students),25
E01001119,Economically inactive,478
E01001120,Does not apply,255
E01001120,Economically active: In employment (including full-time students),645
E01001120,Economically active: Unemployed (including full-time students),39
E01001120,Economically inactive,408
E01001121,Does not apply,195
E01001121,Economically active: In employment (including full-time students),595
E01001121,Economically active: Unemployed (including full-time students),24
E01001121,Economically inactive,510
E01001122,Does not apply,253
E01001122,Economically active: In employment (including full-time students),670
E01001122,Economically active: Unemployed (including full-time students),34
